                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.97513,                  3.932,                0.98385,                0.00544,                0.24127,                0.05775,                0.03444,                0.73253,                 3.8249,                0.85264,                 0.0964,                 0.0004,                 0.0004
                      1,                0.81203,                  3.763,                0.92621,                 0.0046,                0.23757,                0.07313,                0.05033,                0.56606,                 3.7324,                0.81971,               0.091882,             0.00088218,             0.00088218
                      2,                0.73127,                 3.3575,                0.87502,                0.00468,                0.24127,                0.09138,                 0.0828,                0.57408,                 3.6103,                0.80813,               0.087345,              0.0013446,              0.0013446
                      3,                0.76274,                  2.571,                 0.8597,                0.00594,                0.28571,                0.15968,                0.15176,                0.57979,                 3.4688,                0.80298,               0.082787,              0.0017871,              0.0017871
                      4,                0.67647,                 1.9758,                0.87048,                0.00684,                0.32275,                0.22952,                0.21242,                0.64538,                 3.2635,                0.81922,                0.07821,              0.0022099,              0.0022099
                      5,                0.64158,                 1.5554,                0.83633,                0.00696,                0.32275,                0.22994,                 0.2085,                0.65372,                 3.0914,                0.82918,               0.073613,              0.0026129,              0.0026129
                      6,                 0.6181,                 1.4052,                0.83846,                      1,                 0.0618,                0.23956,                0.21521,                0.69123,                 2.9886,                0.85353,               0.068996,              0.0029961,              0.0029961
                      7,                0.64619,                 1.2529,                0.82624,                      1,                0.06232,                0.24705,                0.21827,                0.64103,                 2.9932,                0.83152,               0.064359,              0.0033595,              0.0033595
                      8,                0.62052,                 1.2387,                0.82593,                0.99647,                0.06349,                0.25224,                0.22947,                0.65462,                 2.9869,                0.83586,               0.059703,               0.003703,               0.003703
                      9,                0.64902,                 1.1788,                0.84932,                      1,                0.06324,                0.26901,                0.23742,                0.69184,                 2.8667,                0.84551,               0.055027,              0.0040268,              0.0040268
                     10,                0.66745,                 1.1275,                0.84031,                      1,                 0.0622,                0.27696,                0.24314,                0.68543,                 2.7397,                0.84114,               0.050331,              0.0043308,              0.0043308
                     11,                0.62646,                 1.0674,                0.83137,                      1,                0.06248,                0.28116,                0.24811,                0.64281,                 2.7325,                0.83757,               0.045615,               0.004615,               0.004615
                     12,                0.64789,                 1.0815,                0.84133,                      1,                0.06242,                0.31824,                0.27412,                0.65224,                 2.6877,                0.84161,               0.040879,              0.0048794,              0.0048794
                     13,                0.69234,                 1.0862,                0.86285,                      1,                0.06662,                0.31658,                0.27316,                0.69068,                 2.6117,                0.85561,               0.036124,              0.0051239,              0.0051239
                     14,                0.70099,                 1.0324,                0.86534,                      1,                0.09123,                0.28399,                 0.2518,                0.63581,                 2.5102,                0.85127,               0.031349,              0.0053487,              0.0053487
                     15,                0.69694,                 1.0384,                0.84944,                      1,                0.17872,                0.36161,                0.28748,                0.69613,                 2.2706,                0.85355,               0.026554,              0.0055537,              0.0055537
                     16,                0.65836,                0.94043,                0.85137,                      1,                0.21208,                0.43343,                0.33267,                0.70763,                 2.1575,                0.85097,               0.021739,              0.0057389,              0.0057389
                     17,                 0.6956,                0.92619,                0.85129,                      1,                0.21138,                0.39353,                0.30915,                0.63849,                 2.0418,                0.84426,               0.016904,              0.0059043,              0.0059043
                     18,                0.62565,                0.91584,                0.85693,                0.98629,                0.28072,                0.44166,                0.31436,                0.62616,                 1.8865,                0.85318,                0.01205,              0.0060498,              0.0060498
                     19,                0.68429,                0.95689,                0.85845,                0.98606,                0.24606,                0.46886,                0.37605,                0.66647,                 1.7904,                 0.8482,              0.0071756,              0.0061756,              0.0061756
                     20,                0.71582,                0.94002,                0.84993,                0.98884,                 0.2971,                0.50244,                0.38038,                0.60508,                 1.6172,                0.83828,                0.00604,                0.00604,                0.00604
                     21,                0.63755,                0.87979,                0.83153,                0.96655,                0.29872,                0.46413,                0.36152,                0.61919,                  1.528,                0.84315,                0.00604,                0.00604,                0.00604
                     22,                0.63456,                0.92351,                 0.8535,                0.88913,                0.33789,                0.49203,                0.39638,                0.60797,                 1.3943,                0.83415,               0.005842,               0.005842,               0.005842
                     23,                0.63625,                0.90402,                0.84222,                 0.9047,                 0.4143,                0.50001,                0.37808,                0.59499,                 1.2765,                0.83998,               0.005644,               0.005644,               0.005644
                     24,                0.62366,                0.89064,                0.83969,                0.88285,                0.45579,                0.48686,                0.40046,                 0.5354,                 1.2652,                0.83649,               0.005446,               0.005446,               0.005446
                     25,                0.56615,                0.87159,                0.84828,                0.66279,                0.46847,                 0.4957,                0.40092,                0.54728,                 1.0861,                0.83088,               0.005248,               0.005248,               0.005248
                     26,                0.58459,                0.82992,                0.83757,                0.63986,                0.45791,                0.50405,                0.42019,                0.48496,                 1.0228,                 0.8332,                0.00505,                0.00505,                0.00505
                     27,                0.55404,                0.85318,                0.83573,                0.66209,                0.54462,                0.50931,                0.41933,                0.54289,                0.97357,                 0.8386,               0.004852,               0.004852,               0.004852
                     28,                0.56365,                0.82542,                0.83151,                0.64548,                0.51687,                0.51223,                0.43051,                0.44744,                0.84544,                 0.8321,               0.004654,               0.004654,               0.004654
                     29,                0.52681,                0.79922,                0.82511,                 0.6558,                0.54812,                0.51255,                0.43782,                0.50532,                0.86947,                0.83761,               0.004456,               0.004456,               0.004456
                     30,                0.53443,                0.82093,                0.83407,                0.63802,                0.55583,                0.51472,                0.43329,                0.42707,                0.78461,                0.82469,               0.004258,               0.004258,               0.004258
                     31,                0.53197,                0.78044,                0.83125,                0.65684,                0.54673,                0.51426,                0.42138,                0.43933,                0.75173,                0.83083,                0.00406,                0.00406,                0.00406
                     32,                0.52573,                0.77846,                0.82827,                0.66479,                0.56177,                0.51457,                0.43738,                0.43529,                0.77838,                0.83211,               0.003862,               0.003862,               0.003862
                     33,                0.50655,                0.79989,                 0.8236,                0.67505,                0.58118,                0.51758,                0.42977,                0.45781,                 0.7627,                0.82844,               0.003664,               0.003664,               0.003664
                     34,                0.51224,                0.79369,                0.84074,                0.67878,                0.59664,                0.51615,                0.43585,                0.41867,                0.71455,                0.82496,               0.003466,               0.003466,               0.003466
                     35,                0.49847,                0.79608,                0.82525,                0.67315,                0.56315,                0.52203,                0.43247,                0.45622,                0.73359,                0.82289,               0.003268,               0.003268,               0.003268
                     36,                0.47699,                0.74795,                0.81488,                0.66723,                0.55821,                0.51821,                0.43562,                0.42639,                 0.7631,                0.81865,                0.00307,                0.00307,                0.00307
                     37,                0.48929,                0.77483,                0.83062,                0.67089,                 0.5666,                0.51855,                0.43704,                0.38529,                0.71121,                 0.8158,               0.002872,               0.002872,               0.002872
                     38,                0.44408,                0.73242,                0.82709,                0.66897,                0.55998,                0.51976,                0.43856,                0.38298,                0.70204,                 0.8157,               0.002674,               0.002674,               0.002674
                     39,                0.44066,                0.72792,                0.82222,                0.66064,                0.55892,                 0.5235,                0.45178,                0.39098,                0.70048,                0.81768,               0.002476,               0.002476,               0.002476
                     40,                 0.4431,                0.72795,                0.83131,                0.65995,                 0.5555,                0.52239,                0.45073,                0.36704,                0.67292,                0.81984,               0.002278,               0.002278,               0.002278
                     41,                0.44197,                0.71666,                0.82685,                0.66428,                0.55672,                0.52385,                0.45277,                0.36964,                0.68508,                0.82012,                0.00208,                0.00208,                0.00208
                     42,                0.43385,                0.70247,                0.81307,                0.66864,                0.55952,                0.52558,                0.45016,                0.36946,                0.66518,                0.81837,               0.001882,               0.001882,               0.001882
                     43,                0.45184,                0.74195,                0.81871,                0.68026,                0.60027,                0.53416,                0.45749,                0.37163,                0.66883,                0.81803,               0.001684,               0.001684,               0.001684
                     44,                0.44542,                0.73079,                0.83013,                0.67941,                0.60942,                0.52865,                0.45189,                0.37121,                 0.6547,                0.82068,               0.001486,               0.001486,               0.001486
                     45,                0.42373,                0.68218,                0.81541,                0.67662,                0.58511,                0.52803,                0.45245,                0.35629,                0.65317,                0.81875,               0.001288,               0.001288,               0.001288
                     46,                0.36789,                 0.6675,                0.82519,                0.66975,                0.56433,                0.52854,                0.45455,                0.33936,                0.63722,                0.82119,                0.00109,                0.00109,                0.00109
                     47,                0.39807,                0.67394,                 0.8133,                0.67015,                0.56112,                0.53105,                 0.4591,                0.33486,                 0.6418,                0.81997,               0.000892,               0.000892,               0.000892
                     48,                 0.3912,                0.68454,                0.81318,                0.67096,                0.56461,                0.53211,                0.46144,                0.33739,                0.62673,                0.82137,               0.000694,               0.000694,               0.000694
                     49,                 0.3977,                0.66869,                0.80622,                 0.6714,                0.56604,                0.53214,                0.46105,                0.33302,                0.63025,                0.82054,               0.000496,               0.000496,               0.000496
